# POS,Score,words
a,1,able
a,-1,unable
a,0,dorsal abaxial
a,0,ventral adaxial
a,0,acroscopic
a,0,basiscopic
a,0,abducting abducent
a,0,adductive adducting adducent
a,0,nascent
a,0,emerging emergent
a,1,dissilient
a,1,parturient
a,0,dying
a,0,moribund
a,0,last
a,0,abridged
a,0,shortened cut
a,0,half-length
a,0,potted
a,0,unabridged
a,1,uncut full-length
a,1,absolute
a,1,direct
a,0,unquestioning implicit
a,1,infinite
a,1,living
a,-1,relative comparative
a,0,relational
a,0,absorptive absorbent
a,1,sorbefacient absorbefacient
a,-1,assimilatory assimilative assimilating
a,0,hygroscopic
a,-1,receptive
a,0,shock-absorbent
a,0,spongy spongelike
a,0,thirsty
a,-1,nonabsorptive nonabsorbent
a,-1,resistant repellent
a,0,surface-assimilative adsorptive adsorbent
a,-1,chemosorptive chemisorptive
a,-1,nonadsorptive nonadsorbent
a,1,absorbable
a,1,adsorbate adsorbable
a,0,abstemious
a,-1,abstinent abstentious
a,1,spartan austere ascetical ascetic
a,0,gluttonous
a,0,crapulous
a,-1,crapulous crapulent
a,0,wolfish voracious ravenous ravening rapacious esurient edacious
a,0,greedy
a,-1,swinish porcine piggy piggish hoggish
a,-1,too-greedy overgreedy
a,0,abstract
a,1,notional ideational conceptional
a,1,conceptual
a,0,ideal
a,0,ideological ideologic
a,1,concrete
a,0,objective
a,0,tangible real
a,-1,abundant
a,-1,galore abounding
a,1,rich plentiful plenteous copious ample
a,0,voluminous copious
a,-1,easy
a,-1,riotous profuse luxuriant lush exuberant
a,-1,thick
a,-1,long
a,-1,rife plethoric overabundant
a,-1,plentiful
a,0,rampant
a,-1,rank
a,-1,superabundant
a,0,teeming
a,-1,torrential
a,-1,verdant
a,-1,scarce
a,-1,rare
a,-1,tight
a,-1,mistreated maltreated ill-treated abused
a,-1,battered
a,1,unabused
a,1,acceptable
a,1,bankable
a,-1,unimpeachable unexceptionable
a,-1,unobjectionable
a,-1,unacceptable
a,-1,objectionable exceptionable
a,1,accessible
a,1,reachable approachable
a,1,getatable get-at-able come-at-able
a,0,ready_to_hand handy
a,1,unaccessible inaccessible
a,1,remote outback
a,-1,untrodden untrod untracked trackless roadless pathless
a,0,unreached unreachable unapproachable out_of_reach
a,-1,ungetatable un-get-at-able un-come-at-able
a,1,accommodative accommodating
